VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,total_amount
2,2015-01-15 19:05:39 +00:00,2015-01-15 19:23:42 +00:00,1,1.59,-73.99389648,40.75011063,-73.97478485,40.75061798,12,3.25,17.05
2,2015-01-15 19:05:39 +00:00,2015-01-15 19:32:00 +00:00,1,2.38,-73.97642517,40.73981094,-73.98397827,40.75788879,16.5,4.38,22.68
2,2015-01-15 19:05:40 +00:00,2015-01-15 19:21:00 +00:00,5,2.83,-73.96870422,40.75424576,-73.9551239,40.7868576,12.5,0,14.3
2,2015-01-15 19:05:40 +00:00,2015-01-15 19:28:18 +00:00,5,8.33,-73.86306,40.76958084,-73.95271301,40.78578186,26,8.08,41.21
2,2015-01-15 19:05:41 +00:00,2015-01-15 19:20:36 +00:00,1,2.37,-73.94554138,40.77942276,-73.98085022,40.78608322,11.5,0,13.3
2,2015-01-15 19:05:41 +00:00,2015-01-15 19:20:22 +00:00,2,7.13,-73.87445831,40.7740097,-73.95237732,40.71858978,21.5,4.5,27.8
2,2015-01-15 19:05:41 +00:00,2015-01-15 19:31:00 +00:00,1,3.6,-73.97660065,40.7518959,-73.99892426,40.71459579,17.5,0,19.3
2,2015-01-15 19:05:41 +00:00,2015-01-15 19:10:22 +00:00,1,0.89,-73.99495697,40.74507904,-73.99993896,40.73464966,5.5,1.62,8.92
2,2015-01-15 19:05:41 +00:00,2015-01-15 19:10:55 +00:00,1,0.96,-74.00093842,40.74706268,-74.00356293,40.73551178,5.5,1.3,8.6
2,2015-01-15 19:05:41 +00:00,2015-01-15 19:12:36 +00:00,2,1.25,-74.0027771,40.71789169,-74.00791931,40.70421982,6.5,1.5,9.8
2,2015-01-15 19:05:41 +00:00,2015-01-15 19:22:11 +00:00,5,2.11,-73.99745941,40.73636246,-73.9781723,40.76185608,11.5,2.5,15.8
2,2015-01-15 19:05:41 +00:00,2015-01-15 19:14:05 +00:00,5,1.15,-73.95227814,40.82399368,-73.95333862,40.81108856,7.5,1.7,11
2,2015-01-15 19:05:42 +00:00,2015-01-15 19:16:18 +00:00,1,1.53,-73.99112701,40.75008011,-73.98860931,40.73488998,9,0,10.8
2,2015-01-15 19:05:42 +00:00,2015-01-15 19:49:07 +00:00,1,18.06,-73.78657532,40.64412689,-73.98560333,40.74353027,52,6,64.13
2,2015-01-15 19:05:42 +00:00,2015-01-15 19:18:33 +00:00,1,1.76,-73.9936676,40.74144745,-73.99451447,40.75772095,10,2.36,14.16
2,2015-01-15 19:05:42 +00:00,2015-01-15 19:21:40 +00:00,6,5.19,-73.98529053,40.7440834,-74.00907898,40.70468903,17.5,3.7,23
2,2015-01-15 19:05:42 +00:00,2015-01-15 19:14:23 +00:00,1,1.38,-73.96977234,40.7856102,-73.95070648,40.77468109,7.5,1.7,11
2,2015-01-15 19:05:43 +00:00,2015-01-15 19:17:43 +00:00,2,2.23,-73.98509216,40.75698853,-73.98487854,40.78015137,10,2.2,14
2,2015-01-15 19:05:43 +00:00,2015-01-15 19:15:17 +00:00,1,1.56,-73.96616364,40.76216125,-73.95005035,40.77625275,8,1.8,11.6
2,2015-01-15 19:05:43 +00:00,2015-01-15 19:15:09 +00:00,5,1.57,-73.97842407,40.74620819,-73.98021698,40.72854233,8,1.8,11.6
2,2015-01-15 19:05:44 +00:00,2015-01-15 19:17:44 +00:00,1,2.92,-73.99835205,40.72003174,-73.95582581,40.71559906,12.5,2.7,17
2,2015-01-15 14:00:41 +00:00,2015-01-15 14:11:18 +00:00,1,1.64,-73.9837265,40.74634171,-73.96679688,40.76140594,8.5,0,9.3
2,2015-01-15 14:00:41 +00:00,2015-01-15 14:19:26 +00:00,1,1.53,-73.99578094,40.73294067,-73.99107361,40.75038147,12,0,12.8
2,2015-01-15 14:00:41 +00:00,2015-01-15 14:31:42 +00:00,5,7.48,-73.87081909,40.77370071,-73.96869659,40.76268005,27,0,27.8
2,2015-01-15 14:00:41 +00:00,2015-01-15 14:13:48 +00:00,1,3,-73.96427155,40.7730217,-73.96577454,40.80466843,12,0,12.8
2,2015-01-15 14:00:42 +00:00,2015-01-15 14:05:01 +00:00,1,0.67,-73.97093201,40.79592133,-73.97016907,40.78912354,5,1,6.8
2,2015-01-15 14:00:42 +00:00,2015-01-15 14:20:40 +00:00,1,1.51,-73.97212219,40.75902939,-73.99093628,40.7557373,13,2.6,16.4
2,2015-01-15 14:00:42 +00:00,2015-01-15 14:05:16 +00:00,2,0.85,-73.98056793,40.7656517,-73.97304535,40.75827026,5.5,0,6.3
2,2015-01-15 14:00:43 +00:00,2015-01-15 14:58:40 +00:00,1,15.2,-73.8012619,40.66772842,-73.9933548,40.75600052,52,14.33,72.46
2,2015-01-15 14:00:43 +00:00,2015-01-15 14:41:50 +00:00,3,9.96,-73.99095917,40.74534225,-73.97360229,40.63248062,35.5,0,36.3
2,2015-01-15 14:00:44 +00:00,2015-01-15 14:04:55 +00:00,1,0.76,-73.96351624,40.77156067,-73.95298767,40.77246094,5,1,6.8
2,2015-01-15 14:00:44 +00:00,2015-01-15 14:04:06 +00:00,1,0.38,-73.99138641,40.7701683,-73.98978424,40.77473831,4,0,4.8
2,2015-01-15 14:00:45 +00:00,2015-01-15 14:05:40 +00:00,2,0.63,-73.95426941,40.77827072,-73.95627594,40.78404617,5,1,6.8
2,2015-01-15 14:00:45 +00:00,2015-01-15 14:39:09 +00:00,1,12.63,-73.78852844,40.64778519,-73.97788239,40.68964005,40,12,52.8
2,2015-01-15 14:00:45 +00:00,2015-01-15 14:10:24 +00:00,1,1.2,-73.9940033,40.7513504,-73.98135376,40.76112366,8.5,0,9.3
2,2015-01-15 14:00:45 +00:00,2015-01-15 14:16:31 +00:00,2,1.18,-74.00641632,40.73965454,-73.98991394,40.73839569,10.5,2.1,13.4
2,2015-01-15 14:00:45 +00:00,2015-01-15 14:47:12 +00:00,1,10.89,-74.00640869,40.73976517,-73.87119293,40.77421188,40.5,9.17,55.8
2,2015-01-15 14:00:46 +00:00,2015-01-15 14:41:54 +00:00,6,10.39,-73.9930954,40.74725723,-73.86483002,40.77032089,38,10.83,54.96
2,2015-01-15 14:00:46 +00:00,2015-01-15 14:33:02 +00:00,5,2.96,-73.96273041,40.77416992,-73.99333191,40.7498703,20.5,0,21.3
2,2015-01-15 14:00:46 +00:00,2015-01-15 14:10:09 +00:00,1,1.18,-73.9825592,40.77320099,-73.96412659,40.76470947,8,1.6,10.4
2,2015-01-15 14:00:46 +00:00,2015-01-15 14:14:51 +00:00,1,1.62,-73.97618103,40.75120544,-73.9863739,40.7665863,10.5,2.1,13.4
2,2015-01-15 14:00:47 +00:00,2015-01-15 14:16:01 +00:00,1,1.56,-73.95927429,40.77437592,-73.97639465,40.76293945,10.5,0,11.3
2,2015-01-15 14:00:47 +00:00,2015-01-15 14:23:36 +00:00,5,4.96,-73.97286224,40.74352264,-73.91412354,40.76496887,19,0,19.8
1,2015-01-15 10:26:13 +00:00,2015-01-15 10:30:49 +00:00,1,0.8,-73.97223663,40.74559402,-73.96466827,40.75601959,5.5,1,7.3
1,2015-01-15 10:26:14 +00:00,2015-01-15 10:42:16 +00:00,1,1.9,-73.94948578,40.77207184,-73.97072601,40.75839233,12.5,0,13.3
1,2015-01-15 10:26:14 +00:00,2015-01-15 10:51:03 +00:00,1,2.6,-73.96176147,40.76427078,-73.98921967,40.74206543,16,3.35,20.15
1,2015-01-15 10:26:14 +00:00,2015-01-15 10:38:13 +00:00,1,0.8,-73.99343872,40.74200058,-73.98744965,40.75202179,8.5,1.85,11.15
1,2015-01-15 10:26:14 +00:00,2015-01-15 10:49:00 +00:00,2,6.8,-73.97297668,40.7611351,-74.00971222,40.70956421,23,4.5,28.3
1,2015-01-15 10:26:15 +00:00,2015-01-15 10:34:40 +00:00,1,1.3,-73.94763947,40.77514267,-73.96069336,40.76080704,7.5,1,9.3
